1678	53	2025-12-15 09:56:00		KELAS BIMBINGAN EKSPOR YUK	publish	kelas-eksporyuk	courses
2984	53	2022-11-26 05:52:44		EKSPOR YUK AUTOMATION (EYA)	draft	ekspor-yuk-automation	courses
8692	53	2025-12-08 08:02:48		KELAS WEBSITE EKSPOR	publish	kelas-website-ekspor	courses
16514	53	2025-05-10 20:12:42		New Course	draft	new-course	courses
