28	eksporyuk		publish	2022-02-11 09:07:16	sejoli-product
93	Eksporyuk Prelaunch		publish	2022-02-27 14:31:33	sejoli-product
179	Kelas Eksporyuk		publish	2022-03-16 22:32:31	sejoli-product
300	Kelas Ekspor Gratis		publish	2022-04-15 15:52:08	sejoli-product
397	Webinar Juni 2022		publish	2022-05-26 05:42:23	sejoli-product
488	Webinar Juli 2022	Akses Sudah Ditutup	publish	2022-06-29 16:22:38	sejoli-product
558	Kaos Eksporyuk		publish	2022-07-08 16:39:42	sejoli-product
1529	Kelas Donasi		publish	2022-09-13 15:10:19	sejoli-product
2910	Aplikasi EYA		draft	2022-11-22 13:55:58	sejoli-product
3764	Ekspor Yuk Automation		publish	2023-01-04 20:57:01	sejoli-product
3840	Bundling Kelas Ekspor + Aplikasi EYA		publish	2023-01-11 07:33:08	sejoli-product
4220	EYA DEKSTOP		draft	2023-01-17 10:09:08	sejoli-product
4684	Ultah Ekspor Yuk		publish	2023-02-19 14:57:09	sejoli-product
5928	Jasa Website Ekspor Hemat		publish	2023-06-16 19:30:19	sejoli-product
5932	Legalitas Ekspor		publish	2023-06-16 19:35:58	sejoli-product
5935	Jasa Website Ekspor Bisnis		publish	2023-06-16 19:37:43	sejoli-product
6068	Kelas Bimbingan Ekspor Yuk		publish	2023-06-25 19:38:34	sejoli-product
6810	Promo Kemerdekaan		publish	2023-08-14 10:45:04	sejoli-product
8683	Kelas Ekspor Yuk 12 Bulan		publish	2024-06-10 19:21:12	sejoli-product
8684	Kelas Ekspor Yuk 6 Bulan		publish	2024-06-10 19:23:18	sejoli-product
8686	Ekspor Yuk Automation EYA		draft	2024-06-10 19:43:14	sejoli-product
8910	Re Kelas Ekspor Lifetime		publish	2024-06-11 10:15:41	sejoli-product
8914	Re Kelas 6 Bulan Ekspor Yuk		publish	2024-06-11 10:19:59	sejoli-product
8915	Re Kelas 12 Bulan Ekspor Yuk		publish	2024-06-11 10:20:52	sejoli-product
