order_id	affiliate_id	product_id	commission	status
117	113	179	135000.00	cancelled
118	123	179	135000.00	cancelled
119	125	179	135000.00	cancelled
123	114	179	135000.00	added
124	97	179	135000.00	cancelled
125	92	179	135000.00	added
127	141	179	135000.00	added
128	141	179	135000.00	cancelled
129	141	179	135000.00	cancelled
130	141	179	135000.00	cancelled
131	141	179	135000.00	added
132	92	179	135000.00	added
133	141	179	135000.00	cancelled
134	92	179	135000.00	cancelled
136	141	179	135000.00	cancelled
138	114	179	135000.00	added
139	50	179	135000.00	cancelled
140	95	179	135000.00	added
141	57	179	135000.00	cancelled
143	141	179	135000.00	cancelled
144	95	179	135000.00	cancelled
145	141	179	135000.00	cancelled
147	111	179	135000.00	added
148	111	179	135000.00	added
149	106	179	135000.00	added
150	173	179	135000.00	cancelled
151	92	179	135000.00	added
152	50	179	135000.00	cancelled
153	104	179	135000.00	cancelled
154	104	179	135000.00	added
155	173	179	135000.00	added
156	141	179	135000.00	added
158	182	179	135000.00	cancelled
170	53	179	135000.00	cancelled
171	141	179	135000.00	cancelled
172	50	179	135000.00	added
174	95	179	135000.00	cancelled
175	188	179	135000.00	cancelled
178	53	179	135000.00	cancelled
180	182	179	135000.00	cancelled
181	53	179	135000.00	cancelled
183	53	179	135000.00	cancelled
184	50	179	135000.00	added
185	113	179	135000.00	added
186	53	179	135000.00	added
188	114	179	135000.00	cancelled
189	92	179	135000.00	added
190	173	179	135000.00	added
192	113	179	135000.00	added
193	71	179	135000.00	added
194	111	179	135000.00	added
195	125	179	135000.00	cancelled
196	125	179	135000.00	added
197	137	179	135000.00	added
198	132	179	135000.00	added
199	134	179	135000.00	added
200	71	179	135000.00	added
201	181	179	135000.00	added
202	97	179	135000.00	added
207	141	179	135000.00	added
208	111	179	135000.00	cancelled
209	92	179	135000.00	cancelled
211	92	179	160000.00	added
212	53	179	160000.00	added
217	181	179	160000.00	added
219	53	179	160000.00	added
222	182	179	160000.00	cancelled
223	262	179	160000.00	cancelled
224	267	179	160000.00	added
225	267	179	160000.00	cancelled
226	164	179	175000.00	cancelled
229	270	179	175000.00	added
230	114	179	175000.00	cancelled
231	120	179	175000.00	cancelled
232	280	179	175000.00	cancelled
233	141	179	175000.00	cancelled
234	141	179	175000.00	cancelled
235	141	179	175000.00	added
236	141	179	175000.00	cancelled
237	141	179	175000.00	cancelled
238	141	179	175000.00	added
239	141	179	175000.00	cancelled
240	141	179	175000.00	added
241	198	179	175000.00	cancelled
242	257	179	175000.00	added
243	257	179	175000.00	added
244	257	179	175000.00	added
246	141	179	175000.00	added
247	141	179	175000.00	added
248	141	179	175000.00	cancelled
249	141	179	175000.00	added
250	141	179	175000.00	added
251	141	179	175000.00	cancelled
252	141	179	175000.00	cancelled
253	141	179	175000.00	added
254	141	179	175000.00	added
255	141	179	175000.00	added
256	141	179	175000.00	added
257	141	179	175000.00	cancelled
258	257	179	175000.00	added
259	141	179	175000.00	cancelled
260	141	179	175000.00	cancelled
261	141	179	175000.00	cancelled
262	141	179	175000.00	cancelled
263	198	179	175000.00	cancelled
264	141	179	175000.00	cancelled
265	141	179	175000.00	added
266	141	179	175000.00	cancelled
267	141	179	175000.00	added
268	141	179	175000.00	cancelled
270	125	179	175000.00	cancelled
271	198	179	175000.00	cancelled
272	104	179	175000.00	added
273	96	179	175000.00	added
274	141	179	175000.00	cancelled
275	141	179	175000.00	cancelled
276	141	179	175000.00	added
277	141	179	175000.00	cancelled
278	141	179	175000.00	added
280	53	179	175000.00	cancelled
284	141	179	175000.00	added
285	170	179	175000.00	added
286	170	179	175000.00	added
287	170	179	175000.00	added
288	170	179	175000.00	added
289	170	179	175000.00	added
290	268	179	175000.00	cancelled
291	92	179	175000.00	added
292	141	179	175000.00	cancelled
